ticker,name,universe,category,metric_1,metric_2,metric_3,score,last_updated
00MOUTON,2000 Château Mouton Rothschild,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-17
03TACHE,2003 Domaine de la Romanée-Conti La Tâche,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-17
05LATOUR,2005 Château Latour,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-17
06BRM,2006 Giacomo Conterno Barolo Riserva Monfortino,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-17
09BEAUX,2009 Domaine Leroy Vosne-Romanée Les Beaux Monts,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-17
09RBLEROY,2009 Domaine Leroy Richebourg,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-17
11BELAIR,2011 Domaine du Comte Liger-Belair Vosne-Romanée Aux Reignots,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-17
13BEAUX,2013 Domaine Leroy Vosne-Romanée Les Beaux Monts,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-17
14DRC,2014 Domaine de la Romanée-Conti Assortment,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-17
16PETRUS,2016 Château Pétrus,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-17
16SCREAG,2016 Screaming Eagle,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-17
17DUJAC,2017 Domaine Dujac Wine Collection,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-17
59BOND,Ian Fleming - Goldfinger (Dedication Copy),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
59JFK,John F. Kennedy - Profiles in Courage (Inscribed to Frank Sinatra),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
62BOND,Ian Fleming - The Spy Who Loved Me (Inscribed to RFK),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
79STELLA,1979 Rolex Coral Stella Dial Day-Date,alternative_assets,watches,,0.0,0.45,0.0,2026-08-17
70RLEX,1970 Rolex Watch,alternative_assets,watches,,0.0,0.45,0.0,2026-08-17
93DAYTONA,1993 Rolex Zenith Daytona Inverted 6,alternative_assets,watches,,0.0,0.45,0.0,2026-08-17
AGHOWL,Allen Ginsberg - Howl and Other Poems (Inscribed First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
ALICE,Lewis Carroll - Alice's Adventures in Wonderland (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
ANMLFARM,George Orwell - Animal Farm (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
APROAK,Audemars Piguet Royal Oak,alternative_assets,watches,,0.0,0.45,0.0,2026-08-17
BARO,Barosaurus Skeleton,alternative_assets,fossils,,0.0,0.45,0.0,2026-08-17
BIRKINBLU,Hermès 25cm Blue Lizard Birkin,alternative_assets,handbags,,0.0,0.45,0.0,2026-08-17
BIRKINBOR,Hermès 35cm Bordeaux Crocodile Birkin,alternative_assets,handbags,,0.0,0.45,0.0,2026-08-17
BIRKINTAN,Hermès 30cm Tangerine Ostrich Birkin,alternative_assets,handbags,,0.0,0.45,0.0,2026-08-17
BOND1,Ian Fleming - Casino Royale (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
BONDWATCH,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,alternative_assets,watches,,0.0,0.45,0.0,2026-08-17
BRADBURY,Ray Bradbury - Fahrenheit 451 (Signed First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
BROSGRIMM,Grimms' Fairy Tales (Inscribed),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
CHURCHILL,Winston Churchill - The Second World War (Signed First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
CONGRESS,Journals of the Continental Congress (1774–1775),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
DEATON,Deaton Triceratops Skull,alternative_assets,fossils,,0.0,0.45,0.0,2026-08-17
DIMAGGIO2,DiMaggio 2 Watch,alternative_assets,watches,,0.0,0.45,0.0,2026-08-17
DOMINOS,Domino's Pizza Special Edition Rolex Air-King,alternative_assets,watches,,0.0,0.45,0.0,2026-08-17
DUNE,Frank Herbert - Dune (Inscribed First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
FAUBOURG,Hermès Faubourg,alternative_assets,handbags,,0.0,0.45,0.0,2026-08-17
FAUBOURG2,Hermès Faubourg 2,alternative_assets,handbags,,0.0,0.45,0.0,2026-08-17
FROST,Robert Frost - A Boy's Will (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
GATSBY,The Great Gatsby (Signed First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
GMTBLACK1,1983 Rolex GMT-Master Nipple Dial,alternative_assets,watches,,0.0,0.45,0.0,2026-08-17
GRAPES,John Steinbeck - The Grapes of Wrath (Inscribed First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
GWTW,Gone with the Wind (Inscribed First Printing),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
HGWELLS,H.G. Wells - The Time Machine (Inscribed First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
HIMALAYA,Hermès 30cm Himalaya Birkin,alternative_assets,handbags,,0.0,0.45,0.0,2026-08-17
HOLMES,Arthur Conan Doyle - Adventures & Memoirs of Sherlock Holmes,alternative_assets,books,,0.0,0.45,0.0,2026-08-17
HUCKFINN,Mark Twain - Adventures of Huckleberry Finn (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
IROBOT,"Isaac Asimov - I, Robot (First Edition)",alternative_assets,books,,0.0,0.45,0.0,2026-08-17
JEKYLL,Dr. Jekyll and Mr. Hyde (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
KARUIZAWA,Karuizawa Aqua of Life 50-Year-Old Whisky,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-17
KELLER,Helen Keller 1892 Book (Inscribed),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
KEROUAC,Jack Kerouac - On the Road (Signed First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-17
