ticker,name,category,subcategory,status,metric,value,source_url,notes,last_updated
PAPPY1,Pappy Van Winkle Bourbon Assortment,wine and whiskey,bourbon,trading,premium_to_offering,3.6500000000000004,,Live Rally market cap compared with SEC offering cap.,2026-07-25
CHURCHILL,Winston Churchill - The Second World War (Signed First Edition),books,rare books,trading,premium_to_offering,2.15,,Live Rally market cap compared with SEC offering cap.,2026-07-25
LOTR,J.R.R. Tolkien - The Lord of the Rings Trilogy (First Edition),books,rare books,trading,premium_to_offering,1.5862068965517242,,Live Rally market cap compared with SEC offering cap.,2026-07-25
ANMLFARM,George Orwell - Animal Farm (First Edition),books,rare books,trading,premium_to_offering,1.3450000000000002,,Live Rally market cap compared with SEC offering cap.,2026-07-25
ALICE,Lewis Carroll - Alice's Adventures in Wonderland (First Edition),books,rare books,trading,premium_to_offering,1.0,,Live Rally market cap compared with SEC offering cap.,2026-07-25
DUNE,Frank Herbert - Dune (Inscribed First Edition),books,rare books,trading,premium_to_offering,0.9886792452830189,,Live Rally market cap compared with SEC offering cap.,2026-07-25
MEGALODON,Megalodon Fossil,fossils,shark,trading,premium_to_offering,-0.7025,,Live Rally market cap compared with SEC offering cap.,2026-07-25
KEROUAC,Jack Kerouac - On the Road (Signed First Edition),books,rare books,trading,premium_to_offering,-0.7025,,Live Rally market cap compared with SEC offering cap.,2026-07-25
MARX,Karl Marx - Das Kapital (First Edition),books,rare books,trading,premium_to_offering,-0.6933333333333334,,Live Rally market cap compared with SEC offering cap.,2026-07-25
HGWELLS,H.G. Wells - The Time Machine (Inscribed First Edition),books,rare books,trading,premium_to_offering,-0.6290322580645161,,Live Rally market cap compared with SEC offering cap.,2026-07-25
BOND1,Ian Fleming - Casino Royale (First Edition),books,rare books,trading,premium_to_offering,-0.6128205128205129,,Live Rally market cap compared with SEC offering cap.,2026-07-25
WZRDOFOZ,The Wonderful Wizard of Oz (First Edition),books,rare books,trading,premium_to_offering,-0.5900000000000001,,Live Rally market cap compared with SEC offering cap.,2026-07-25
13BEAUX,2013 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,wine,trading,premium_to_offering,0.56,,Live Rally market cap compared with SEC offering cap.,2026-07-25
62BOND,Ian Fleming - The Spy Who Loved Me (Inscribed to RFK),books,rare books,trading,premium_to_offering,-0.5583333333333333,,Live Rally market cap compared with SEC offering cap.,2026-07-25
TORNEK,Tornek-Rayville TR-900,watches,tornek-rayville,trading,premium_to_offering,-0.53,,Live Rally market cap compared with SEC offering cap.,2026-07-25
MOBYDICK,Herman Melville - Moby-Dick (First Edition),books,rare books,trading,premium_to_offering,-0.5214285714285714,,Live Rally market cap compared with SEC offering cap.,2026-07-25
GATSBY,The Great Gatsby (Signed First Edition),books,rare books,trading,premium_to_offering,-0.52,,Live Rally market cap compared with SEC offering cap.,2026-07-25
WALDEN,Henry David Thoreau - Walden (First Edition),books,rare books,trading,premium_to_offering,0.5121951219512195,,Live Rally market cap compared with SEC offering cap.,2026-07-25
HUCKFINN,Mark Twain - Adventures of Huckleberry Finn (First Edition),books,rare books,trading,premium_to_offering,-0.509090909090909,,Live Rally market cap compared with SEC offering cap.,2026-07-25
PICNIC,Hermès 35cm Picnic Kelly,handbags,kelly_picnic,trading,premium_to_offering,-0.5074074074074074,,Live Rally market cap compared with SEC offering cap.,2026-07-25
BONDWATCH,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,watches,omega,trading,premium_to_offering,-0.48750000000000004,,Live Rally market cap compared with SEC offering cap.,2026-07-25
BIRKINBLU,Hermès 25cm Blue Lizard Birkin,handbags,birkin_lizard,sold,premium_to_offering,-0.4672413793103448,,Live Rally market cap compared with SEC offering cap.,2026-07-25
LOTF,William Golding - Lord of the Flies (First Edition),books,rare books,trading,premium_to_offering,-0.4642857142857143,,Live Rally market cap compared with SEC offering cap.,2026-07-25
APROAK,Audemars Piguet Royal Oak,watches,audemars piguet,sold,premium_to_offering,-0.45799999999999996,,Live Rally market cap compared with SEC offering cap.,2026-07-25
BRADBURY,Ray Bradbury - Fahrenheit 451 (Signed First Edition),books,rare books,trading,premium_to_offering,-0.4444444444444444,,Live Rally market cap compared with SEC offering cap.,2026-07-25
